Date : 2026-02-12 15:14:43
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps
Total : 591 files,  -4156 codes, -201 comments, -1047 blanks, all -5404 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         35 |      1,237 |          6 |        225 |      1,468 |
| PostCSS            |          1 |        157 |          0 |         22 |        179 |
| SCSS               |          1 |        120 |          0 |         28 |        148 |
| HTML               |          2 |         52 |          0 |          2 |         54 |
| Markdown           |          1 |         10 |          0 |          7 |         17 |
| XML                |          1 |          4 |          0 |          1 |          5 |
| JSON with Comments |         12 |       -131 |          0 |        -10 |       -141 |
| JSON               |         18 |       -566 |          0 |        -16 |       -582 |
| TypeScript         |        520 |     -5,039 |       -207 |     -1,306 |     -6,552 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        591 |     -4,156 |       -201 |     -1,047 |     -5,404 |
| ..                                                                                                                                             |        427 |     -8,251 |       -506 |     -1,938 |    -10,695 |
| ..\packages                                                                                                                                    |        427 |     -8,251 |       -506 |     -1,938 |    -10,695 |
| ..\packages\config                                                                                                                             |          8 |       -108 |          0 |        -21 |       -129 |
| ..\packages\config (Files)                                                                                                                     |          4 |        -67 |          0 |         -5 |        -72 |
| ..\packages\config\src                                                                                                                         |          4 |        -41 |          0 |        -16 |        -57 |
| ..\packages\di                                                                                                                                 |         11 |       -213 |         -2 |        -46 |       -261 |
| ..\packages\di (Files)                                                                                                                         |          2 |        -51 |          0 |         -2 |        -53 |
| ..\packages\di\src                                                                                                                             |          9 |       -162 |         -2 |        -44 |       -208 |
| ..\packages\di\src (Files)                                                                                                                     |          4 |       -105 |          0 |        -30 |       -135 |
| ..\packages\di\src\helpers                                                                                                                     |          5 |        -57 |         -2 |        -14 |        -73 |
| ..\packages\engine                                                                                                                             |        136 |     -2,834 |        -98 |       -660 |     -3,592 |
| ..\packages\engine (Files)                                                                                                                     |          4 |        -88 |          0 |         -5 |        -93 |
| ..\packages\engine-worker                                                                                                                      |          8 |       -345 |         -3 |        -62 |       -410 |
| ..\packages\engine-worker (Files)                                                                                                              |          2 |        -51 |          0 |         -2 |        -53 |
| ..\packages\engine-worker\src                                                                                                                  |          6 |       -294 |         -3 |        -60 |       -357 |
| ..\packages\engine\src                                                                                                                         |        132 |     -2,746 |        -98 |       -655 |     -3,499 |
| ..\packages\engine\src (Files)                                                                                                                 |          1 |         -8 |          0 |         -2 |        -10 |
| ..\packages\engine\src\__tests__                                                                                                               |          7 |       -164 |        -28 |        -44 |       -236 |
| ..\packages\engine\src\__tests__ (Files)                                                                                                       |          3 |        -98 |        -23 |        -27 |       -148 |
| ..\packages\engine\src\__tests__\plugin-examples                                                                                               |          4 |        -66 |         -5 |        -17 |        -88 |
| ..\packages\engine\src\api                                                                                                                     |         25 |       -421 |        -24 |       -118 |       -563 |
| ..\packages\engine\src\api (Files)                                                                                                             |          2 |         -9 |          0 |         -4 |        -13 |
| ..\packages\engine\src\api\builder                                                                                                             |         10 |       -202 |        -20 |        -52 |       -274 |
| ..\packages\engine\src\api\builder (Files)                                                                                                     |          2 |        -11 |          0 |         -4 |        -15 |
| ..\packages\engine\src\api\builder\helpers                                                                                                     |          5 |       -160 |        -11 |        -39 |       -210 |
| ..\packages\engine\src\api\builder\types                                                                                                       |          3 |        -31 |         -9 |         -9 |        -49 |
| ..\packages\engine\src\api\configs                                                                                                             |          2 |        -24 |          0 |         -8 |        -32 |
| ..\packages\engine\src\api\helpers                                                                                                             |          3 |        -35 |          0 |         -8 |        -43 |
| ..\packages\engine\src\api\token-spec                                                                                                          |          3 |        -60 |          0 |        -15 |        -75 |
| ..\packages\engine\src\api\types                                                                                                               |          5 |        -91 |         -4 |        -31 |       -126 |
| ..\packages\engine\src\deps                                                                                                                    |         14 |       -214 |         -2 |        -37 |       -253 |
| ..\packages\engine\src\deps (Files)                                                                                                            |          3 |        -13 |          0 |         -5 |        -18 |
| ..\packages\engine\src\deps\configs                                                                                                            |          6 |       -118 |          0 |        -15 |       -133 |
| ..\packages\engine\src\deps\token-spec                                                                                                         |          3 |        -74 |         -2 |        -11 |        -87 |
| ..\packages\engine\src\deps\types                                                                                                              |          2 |         -9 |          0 |         -6 |        -15 |
| ..\packages\engine\src\engine                                                                                                                  |          7 |       -142 |         -8 |        -38 |       -188 |
| ..\packages\engine\src\engine (Files)                                                                                                          |          4 |        -82 |         -1 |        -21 |       -104 |
| ..\packages\engine\src\engine\helpers                                                                                                          |          3 |        -60 |         -7 |        -17 |        -84 |
| ..\packages\engine\src\errors                                                                                                                  |          3 |       -121 |          0 |         -5 |       -126 |
| ..\packages\engine\src\eventBus                                                                                                                |          8 |        -47 |          0 |        -19 |        -66 |
| ..\packages\engine\src\eventBus (Files)                                                                                                        |          2 |         -6 |          0 |         -4 |        -10 |
| ..\packages\engine\src\eventBus\events                                                                                                         |          6 |        -41 |          0 |        -15 |        -56 |
| ..\packages\engine\src\eventBus\events (Files)                                                                                                 |          1 |         -1 |          0 |         -1 |         -2 |
| ..\packages\engine\src\eventBus\events\core                                                                                                    |          2 |        -13 |          0 |         -6 |        -19 |
| ..\packages\engine\src\eventBus\events\engine                                                                                                  |          3 |        -27 |          0 |         -8 |        -35 |
