Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 148 files,  2954 codes, -265 comments, 458 blanks, all 3147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        136 |      2,993 |       -263 |        453 |      3,183 |
| Markdown           |          1 |         66 |          0 |         34 |        100 |
| JSON with Comments |          1 |         10 |          0 |          0 |         10 |
| JSON               |          1 |          5 |          0 |          0 |          5 |
| SCSS               |          1 |        -13 |          0 |         -1 |        -14 |
| TypeScript JSX     |          8 |       -107 |         -2 |        -28 |       -137 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        148 |      2,954 |       -265 |        458 |      3,147 |
| . (Files)                                                                                                                                               |          5 |         92 |          0 |         35 |        127 |
| src                                                                                                                                                     |        143 |      2,862 |       -265 |        423 |      3,020 |
| src\app                                                                                                                                                 |          1 |          1 |          0 |          2 |          3 |
| src\app\providers                                                                                                                                       |          1 |          1 |          0 |          2 |          3 |
| src\entities                                                                                                                                            |         11 |       -265 |       -182 |       -126 |       -573 |
| src\entities\model                                                                                                                                      |         11 |       -265 |       -182 |       -126 |       -573 |
| src\entities\model\Scope                                                                                                                                |         11 |       -265 |       -182 |       -126 |       -573 |
| src\entities\model\Scope (Files)                                                                                                                        |          5 |       -193 |       -182 |        -94 |       -469 |
| src\entities\model\Scope\CircuitService                                                                                                                 |          3 |        -25 |          0 |        -11 |        -36 |
| src\entities\model\Scope\TabService                                                                                                                     |          3 |        -47 |          0 |        -21 |        -68 |
| src\features                                                                                                                                            |          4 |        -79 |         -1 |        -25 |       -105 |
| src\features\nodes                                                                                                                                      |          1 |         -9 |          0 |         -3 |        -12 |
| src\features\tabs                                                                                                                                       |          3 |        -70 |         -1 |        -22 |        -93 |
| src\processes                                                                                                                                           |          2 |       -151 |          0 |        -38 |       -189 |
| src\processes\workspace-sync                                                                                                                            |          2 |       -151 |          0 |        -38 |       -189 |
| src\shared                                                                                                                                              |        103 |      2,623 |        -82 |        463 |      3,004 |
| src\shared (Files)                                                                                                                                      |          1 |          2 |          0 |          0 |          2 |
| src\shared\infrastructure                                                                                                                               |         99 |      2,600 |        -86 |        456 |      2,970 |
| src\shared\infrastructure\LogicEngine                                                                                                                   |          1 |         17 |          0 |          4 |         21 |
| src\shared\infrastructure\ui-engine                                                                                                                     |         98 |      2,583 |        -86 |        452 |      2,949 |
| src\shared\infrastructure\ui-engine\components                                                                                                          |         11 |        616 |          0 |        108 |        724 |
| src\shared\infrastructure\ui-engine\components\graph-runtime                                                                                            |          2 |         47 |          0 |          6 |         53 |
| src\shared\infrastructure\ui-engine\components\workspace-session                                                                                        |          5 |        341 |          0 |         55 |        396 |
| src\shared\infrastructure\ui-engine\components\workspace-state                                                                                          |          4 |        228 |          0 |         47 |        275 |
| src\shared\infrastructure\ui-engine\graph-options                                                                                                       |          2 |          7 |          0 |          1 |          8 |
| src\shared\infrastructure\ui-engine\graph-options (Files)                                                                                               |          1 |          5 |          0 |          1 |          6 |
| src\shared\infrastructure\ui-engine\graph-options\connecting                                                                                            |          1 |          2 |          0 |          0 |          2 |
| src\shared\infrastructure\ui-engine\lib                                                                                                                 |         12 |        313 |          0 |         59 |        372 |
| src\shared\infrastructure\ui-engine\lib\connecting                                                                                                      |          3 |         94 |          0 |         14 |        108 |
| src\shared\infrastructure\ui-engine\lib\logic-values                                                                                                    |          3 |         23 |          0 |          2 |         25 |
| src\shared\infrastructure\ui-engine\lib\ports                                                                                                           |          2 |         22 |          0 |          8 |         30 |
| src\shared\infrastructure\ui-engine\lib\registry                                                                                                        |          4 |        174 |          0 |         35 |        209 |
| src\shared\infrastructure\ui-engine\model                                                                                                               |         26 |        560 |          1 |         66 |        627 |
| src\shared\infrastructure\ui-engine\model (Files)                                                                                                       |          4 |         81 |          0 |         17 |         98 |
| src\shared\infrastructure\ui-engine\model\events                                                                                                        |          4 |         55 |          0 |         13 |         68 |
| src\shared\infrastructure\ui-engine\model\nodes-spec                                                                                                    |         14 |        326 |          0 |         20 |        346 |
| src\shared\infrastructure\ui-engine\model\nodes-spec (Files)                                                                                            |          2 |         48 |          0 |          5 |         53 |
