"filename", "language", "JSON with Comments", "TypeScript JSX", "TypeScript", "Markdown", "XML", "HTML", "SCSS", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\AGENTS.md", "Markdown", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 34, 100
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\index.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 1, 50
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\playground.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\TODO.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\App.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\app\providers\AppProvider.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\nodes\useAddBaseLogic.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useCloseTab.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useOpenTab.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\features\tabs\useUpdateTabTitle.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 4, 13
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 22, 179
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\index.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\ArrowIcon.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\CrossIcon.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\LogoIcon.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\PlusIcon.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\IconComponents\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\assets\workspace_tile.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\config\config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\config\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\enum.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\usePreventEvent.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\bindPointerDrag.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 17, 66
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\bindWheelZoom.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useDraggable.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 19, 103
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useViewport.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 14, 104
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useViewportBinding.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\hooks\useViewport\useZoomable.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\EngineProvider.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\applyEngineEvents.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 16, 96
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\client.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\LogicEngine\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
