Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 220 files,  7049 codes, 40 comments, 1349 blanks, all 8438 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        176 |      5,448 |         36 |      1,057 |      6,541 |
| TypeScript JSX     |         35 |      1,130 |          4 |        197 |      1,331 |
| PostCSS            |          1 |        157 |          0 |         22 |        179 |
| SCSS               |          1 |        107 |          0 |         27 |        134 |
| Markdown           |          2 |         76 |          0 |         41 |        117 |
| HTML               |          2 |         52 |          0 |          2 |         54 |
| JSON               |          1 |         49 |          0 |          1 |         50 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| XML                |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        220 |      7,049 |         40 |      1,349 |      8,438 |
| . (Files)                                                                                                                                               |          7 |        249 |          0 |         42 |        291 |
| src                                                                                                                                                     |        213 |      6,800 |         40 |      1,307 |      8,147 |
| src (Files)                                                                                                                                             |          4 |        180 |          2 |         34 |        216 |
| src\app                                                                                                                                                 |          2 |         47 |          0 |         12 |         59 |
| src\app (Files)                                                                                                                                         |          1 |         16 |          0 |          3 |         19 |
| src\app\providers                                                                                                                                       |          1 |         31 |          0 |          9 |         40 |
| src\features                                                                                                                                            |          4 |         45 |          4 |         16 |         65 |
| src\features\nodes                                                                                                                                      |          1 |         24 |          0 |          5 |         29 |
| src\features\tabs                                                                                                                                       |          3 |         21 |          4 |         11 |         36 |
| src\shared                                                                                                                                              |        168 |      5,183 |         32 |      1,008 |      6,223 |
| src\shared (Files)                                                                                                                                      |          2 |         18 |          0 |          6 |         24 |
| src\shared\assets                                                                                                                                       |          6 |         91 |          2 |         19 |        112 |
| src\shared\assets (Files)                                                                                                                               |          1 |          4 |          0 |          1 |          5 |
| src\shared\assets\IconComponents                                                                                                                        |          5 |         87 |          2 |         18 |        107 |
| src\shared\config                                                                                                                                       |          2 |          5 |          0 |          3 |          8 |
| src\shared\hooks                                                                                                                                        |          8 |        321 |          0 |         72 |        393 |
| src\shared\hooks (Files)                                                                                                                                |          1 |         11 |          0 |          3 |         14 |
| src\shared\hooks\useViewport                                                                                                                            |          7 |        310 |          0 |         69 |        379 |
| src\shared\infrastructure                                                                                                                               |        119 |      3,971 |         18 |        727 |      4,716 |
| src\shared\infrastructure (Files)                                                                                                                       |          1 |          2 |          0 |          1 |          3 |
| src\shared\infrastructure\LogicEngine                                                                                                                   |          5 |        119 |          0 |         27 |        146 |
| src\shared\infrastructure\ui-engine                                                                                                                     |        113 |      3,850 |         18 |        699 |      4,567 |
| src\shared\infrastructure\ui-engine (Files)                                                                                                             |          1 |          1 |          0 |          1 |          2 |
| src\shared\infrastructure\ui-engine\components                                                                                                          |         11 |        616 |          0 |        108 |        724 |
| src\shared\infrastructure\ui-engine\components\graph-runtime                                                                                            |          2 |         47 |          0 |          6 |         53 |
| src\shared\infrastructure\ui-engine\components\workspace-session                                                                                        |          5 |        341 |          0 |         55 |        396 |
| src\shared\infrastructure\ui-engine\components\workspace-state                                                                                          |          4 |        228 |          0 |         47 |        275 |
| src\shared\infrastructure\ui-engine\graph-options                                                                                                       |          4 |        106 |          0 |         15 |        121 |
| src\shared\infrastructure\ui-engine\graph-options (Files)                                                                                               |          2 |         43 |          0 |          5 |         48 |
| src\shared\infrastructure\ui-engine\graph-options\connecting                                                                                            |          2 |         63 |          0 |         10 |         73 |
| src\shared\infrastructure\ui-engine\lib                                                                                                                 |         23 |        491 |         10 |        102 |        603 |
| src\shared\infrastructure\ui-engine\lib (Files)                                                                                                         |          1 |          3 |          0 |          1 |          4 |
| src\shared\infrastructure\ui-engine\lib\connecting                                                                                                      |          7 |        183 |         10 |         33 |        226 |
| src\shared\infrastructure\ui-engine\lib\logic-values                                                                                                    |          5 |         70 |          0 |         14 |         84 |
| src\shared\infrastructure\ui-engine\lib\ports                                                                                                           |          6 |         61 |          0 |         19 |         80 |
| src\shared\infrastructure\ui-engine\lib\registry                                                                                                        |          4 |        174 |          0 |         35 |        209 |
| src\shared\infrastructure\ui-engine\model                                                                                                               |         27 |        869 |          1 |        109 |        979 |
| src\shared\infrastructure\ui-engine\model (Files)                                                                                                       |          4 |        124 |          0 |         33 |        157 |
| src\shared\infrastructure\ui-engine\model\events                                                                                                        |          4 |         55 |          0 |         13 |         68 |
| src\shared\infrastructure\ui-engine\model\nodes-spec                                                                                                    |         15 |        592 |          0 |         47 |        639 |
