"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\createCatalog.test.ts", "TypeScript", 42, 0, 5, 47
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\createCatalog.ts", "TypeScript", 52, 0, 5, 57
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\helpers\createItemRefKey.ts", "TypeScript", 4, 0, 2, 6
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\helpers\createValidationIssue.ts", "TypeScript", 12, 3, 2, 17
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\helpers\isSameItemRef.ts", "TypeScript", 9, 1, 2, 12
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\buildServices.ts", "TypeScript", 42, 1, 4, 47
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\factory\constants.ts", "TypeScript", 6, 0, 3, 9
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\factory\createCatalogFactoryService.test.ts", "TypeScript", 98, 0, 10, 108
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\factory\createCatalogFactoryService.ts", "TypeScript", 41, 1, 5, 47
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\factory\helpers.ts", "TypeScript", 93, 0, 9, 102
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\factory\index.ts", "TypeScript", 10, 0, 1, 11
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\factory\types.ts", "TypeScript", 49, 0, 9, 58
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\index.ts", "TypeScript", 32, 0, 1, 33
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\createCatalogIOService.ts", "TypeScript", 20, 1, 3, 24
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\export\createCatalogExportService.test.ts", "TypeScript", 196, 0, 16, 212
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\export\createCatalogExportService.ts", "TypeScript", 90, 1, 14, 105
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\export\index.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\export\issues.ts", "TypeScript", 44, 0, 3, 47
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\export\types.ts", "TypeScript", 17, 0, 3, 20
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\helpers.ts", "TypeScript", 33, 3, 6, 42
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\import\createCatalogImportService.test.ts", "TypeScript", 188, 0, 12, 200
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\import\createCatalogImportService.ts", "TypeScript", 174, 1, 36, 211
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\import\index.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\import\issues.ts", "TypeScript", 59, 0, 3, 62
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\import\types.ts", "TypeScript", 29, 0, 3, 32
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\index.ts", "TypeScript", 15, 0, 1, 16
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\io\types.ts", "TypeScript", 40, 0, 13, 53
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\query\createCatalogQueryService.test.ts", "TypeScript", 152, 0, 11, 163
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\query\createCatalogQueryService.ts", "TypeScript", 128, 1, 26, 155
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\query\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\query\types.ts", "TypeScript", 32, 0, 2, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\state\createCatalogStateService.test.ts", "TypeScript", 73, 0, 12, 85
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\state\createCatalogStateService.ts", "TypeScript", 106, 1, 23, 130
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\state\index.ts", "TypeScript", 2, 0, 1, 3
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\state\types.ts", "TypeScript", 14, 0, 2, 16
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\types.ts", "TypeScript", 24, 0, 5, 29
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\createCatalogValidationService.test.ts", "TypeScript", 141, 0, 7, 148
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\createCatalogValidationService.ts", "TypeScript", 16, 1, 2, 19
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\helpers\index.ts", "TypeScript", 7, 0, 1, 8
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\helpers\predicates.ts", "TypeScript", 12, 0, 4, 16
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\helpers\results.ts", "TypeScript", 29, 0, 5, 34
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\index.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\issues.ts", "TypeScript", 366, 0, 3, 369
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\types.ts", "TypeScript", 13, 0, 2, 15
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\__tests__\document.test.ts", "TypeScript", 33, 0, 3, 36
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\__tests__\item.test.ts", "TypeScript", 101, 0, 7, 108
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\__tests__\library.test.ts", "TypeScript", 68, 0, 4, 72
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\__tests__\module.test.ts", "TypeScript", 124, 0, 13, 137
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\__tests__\ref.test.ts", "TypeScript", 34, 0, 5, 39
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\document.ts", "TypeScript", 36, 0, 7, 43
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\index.ts", "TypeScript", 6, 0, 1, 7
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\item.ts", "TypeScript", 40, 0, 10, 50
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\library.ts", "TypeScript", 56, 0, 13, 69
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\module.ts", "TypeScript", 280, 0, 36, 316
"c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\catalog\services\validation\validators\ref.ts", "TypeScript", 26, 0, 6, 32
